Unit,Unit Name
U66401,Betty Shabazz International Charter School-Barbara Sizemore Academy
U66075,Chicago International Charter School - Friesse Campus
U66281,Chicago Math and Science Academy (CMSA) Charter School
U66211,LEARN Charter School - Butler 
U66071,Chicago International Charter School (CICS)- Bucktown Campus
U66395,UNO Charter School - SPC Daniel Zizumbo Campus
U66396,UNO Charter School - PFC Omar E. Torres Campus
U66394,UNO Charter School - Major Hector P. Garcia MD Campus
U66144,Noble Street Charter High School - Rowe Clark Campus
U66134,UNO Charter School - Northside Elementary Campus
U66381,Chicago International Charter School (CICS)- Wrightwood Campus
U66241,Chicago International Charter School (CICS)- Northtown Campus
U66573,Noble Street Charter High School - Muchin College Prep Campus
U66261,KIPP Ascend Charter School
U66231,Chicago International Charter School (CICS)- Basil Campus
U66148,Noble Street Charter High School - Johnson College Prep
U63131,Instituto Health Sciences Career Academy
U66147,Noble Street Charter High School - UIC Campus
U66142,Noble Street Charter High School - Pritzker College Prep Campus
U66433,Catalyst - Maria Charter School
U46621,VOISE Academy High School
U66146,Noble Street Charter High School - Comer Campus
U66572,Noble Street Charter High School - Chicago Bulls College Prep Campus
U66061,Chicago International Charter School (CICS)- Longwood Campus
U49161,TEAM Englewood Community Academy
U22801,John W Cook Elementary School
U63011,Academy for Global Citizenship
U53121,Edward Tilden Career Commmunity Academy
U53051,Ellen H Richards Career Academy
U46401,Percy L Julian High School
U26461,Evergreen Academy
U46021,Hancock High School
U66091,North Lawndale Charter - Christiana
U24811,Wells Preparatory School
U26621,Charles H Wacker School
U24441,Emmit Louis Till Math and Science Academy
U46181,Thomas Kelly High School
U66121,Betty Shabazz International Charter School
U66191,Asian Human Services - Passages Charter School
U53011,Chicago Vocational Career Academy
U46491,Bowen High School
U46041,William J Bogan Computer Technical High School
U46471,Al Raby High School
U46191,Kelvyn Park High School
U51091,Roberto Clemente Community Academy High School
U55191,Bronzeville Scholastic Institute
